Year,Title,Category 1,Category 2,Entity 1,Entity 2,Location,URL,Required response URL,Invited response (if different)
2018,Threat Assessment in Our Public Schools,Schools,Public Safety,Sheriff-Coroner,Superintendent of Schools,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/SchoolThreatFollowUp.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/SchoolThreatFollowUp_Sheriff_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/SchoolThreatFollowUp_Superintendent_Response.pdf
2018,Mental Health Crisis - Seeking an Integrated Response,Public Health,Public Safety,Board of Supervisors,Health Services Agency,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/MentalHealthCrisis.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/MentalHealthCrisis_BoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/MentalHealthCrisis_HSA_Response.pdf
2018,San Lorenzo Valley Water District,Government,Infrastructure,San Lorenzo Valley Water District,,Santa Cruz Mountains,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/SLVWDAndThePublic.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/SLVWDAndThePublic_BoD_Response.pdf,
2018,Data-Driven Budgeting - New Ways To Get Better Results,Government,,Board of Supervisors,County Executive Officer,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/DataDrivenBudgeting.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/DataDrivenBudgeting_BoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/DataDrivenBudgeting_CAO_Response.pdf
2018,These Are Our Children - Responding to Youth Homelessness in Santa Cruz County,Public Health,Child Protection,Board of Supervisors,County Executive Officer,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/TheseAreOurChildren.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/TheseAreOurChildren_BoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/TheseAreOurChildren_CAO_Response.pdf
2018,Our Public Defender System - Anticipating Structural Change,Public Safety,,Board of Supervisors,County Executive Officer,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/PublicDefender.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/PublicDefender_BoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2018_final/PublicDefender_CAO_Response.pdf
2019,2018-2019 Detention Facilities Inspection Report,Jails,,Sheriff-Coroner,Board of Supervisors,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/DetentionFacilitiesInspectionReport.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/DetentionFacilitiesInspectionSheriffResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/DetentionFacilitiesInspectionBoSResponse.pdf
2019,Patron Privacy at Santa Cruz Public Libraries,Libraries,,"Director, Santa Cruz Public Libraries",Library Joint Powers Authority,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/SantaCruzPublicLibrariesReport.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/SCPLDirResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/SCPLLJPAResponse.pdf
2019,Santa Cruz County Probation - Officers Inadequately Equipped and At Risk,Public Safety,,Board of Supervisors,Chief Probation Officer,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/SantaCruzCountyProbation.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/ProbationBoSResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/ProbationCPOResponse.pdf
2019,Santa Cruz County's Public Defense Contracts,Public Safety,,Board of Supervisors,Auditor-Controller,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/PublicDefenseContracts.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/Board%20of%20Supervisors%20Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2019_final/ACTTC%20Response.pdf
